period,CPTOTNSXN
2009M02,97.87766247913
2009M03,98.10193477467
2009M04,98.30916300667
2009M05,98.47160877133
2009M06,98.76050210664
2009M07,98.79005370746
2009M08,99.08109774204
2009M09,99.20606186804
2009M10,99.32996103689
2009M11,99.53466329099
2009M12,99.71096796922
2010M01,100.0
2010M02,100.34617352887
2010M03,100.65114554847
2010M04,100.93124804822
2010M05,101.04996517478
2010M06,101.02539129687
2010M07,101.14247261929
2010M08,101.40805461797
2010M09,101.69264515274
2010M10,102.05667039702
2010M11,102.3199119866
2010M12,102.70314921442
2011M01,103.14139024772
2011M02,103.64797731935
2011M03,104.24975077592
2011M04,104.7304887175
2011M05,105.04511313388
2011M06,105.09014459093
2011M07,105.26299817814
2011M08,105.59459905915
2011M09,105.93193559191
2011M10,106.16697173283
2011M11,106.24835183105
2011M12,106.35894862939
2012M01,106.77506770354
2012M02,107.15399528006
2012M03,107.73527002012
2012M04,108.07503787585
2012M05,108.03857522501
2012M06,107.9234588249
2012M07,107.97794745458
2012M08,108.48187689077
2012M09,108.91121596881
2012M10,109.14157489169
2012M11,109.04304290536
2012M12,109.22415121286
2013M01,109.50977308125
2013M02,110.14281337449
2013M03,110.38723807216
2013M04,110.49437230526
2013M05,110.59288644163
2013M06,110.83398439343
2013M07,111.05795247588
2013M08,111.33902296124
2013M09,111.6543022906
2013M10,111.75767379383
2013M11,111.8302513355
2013M12,112.00394427687
2014M01,112.22365033429
2014M02,112.62012682222
2014M03,113.04547485574
2014M04,113.52108750096
2014M05,113.77243056249
2014M06,113.94908482856
2014M07,114.11052600718
2014M08,114.24871095776
2014M09,114.45382662662
2014M10,114.52000971208
2014M11,114.36854287369
2014M12,114.3395753804
2015M01,114.23472598053
2015M02,114.83096638447
2015M03,115.35516417355
2015M04,115.67526279912
2015M05,116.03502872852
2015M06,116.2388230647
2015M07,116.36653854045
2015M08,116.51208902959
2015M09,116.60398426346
2015M10,116.81296483317
2015M11,116.8054921195
2015M12,116.91141312301
2016M01,116.99506148756
2016M02,117.42566069532
2016M03,117.80773937845
2016M04,118.1564988874
2016M05,118.51104848057
2016M06,118.81791772537
2016M07,118.93758719353
2016M08,119.05801991405
2016M09,119.31542260574
2016M10,119.62111548194
2016M11,119.68762680525
2016M12,119.94394135468
2017M01,120.43371562253
2017M02,120.78601183487
2017M03,121.02331598626
2017M04,121.41689694192
2017M05,121.55107309959
2017M06,121.63181255741
2017M07,121.76184428214
2017M08,122.09908071491
2017M09,122.45560552515
2017M10,122.68202450488
2017M11,122.89297151453
2017M12,123.13625060894
2018M01,123.48438940659
2018M02,123.95011119393
2018M03,124.08556875241
2018M04,124.43325197791
2018M05,124.85147225652
2018M06,125.19761288402
2018M07,125.44632050891
2018M08,125.85442369561
2018M09,126.28138734069
2018M10,126.67149455582
2018M11,126.43039906846
2018M12,126.28103666772
2019M01,126.3469500072
2019M02,126.86399135697
2019M03,127.32472298126
2019M04,127.92945109079
2019M05,128.20987174122
2019M06,128.25694771606
2019M07,128.54593933331
2019M08,128.8128241512
2019M09,129.0209412808
2019M10,129.47970493242
2019M11,129.64015141492
2019M12,129.92803757284
2020M01,130.2953733723
2020M02,130.61102051338
2020M03,130.48134009129
2020M04,130.28633238805
2020M05,130.22898088684
2020M06,130.64597494689
2020M07,131.13371229276
2020M08,131.40710547669
2020M09,131.647607036
2020M10,132.01553001463
2020M11,132.11186002438
2020M12,132.47826449961
2021M01,133.1447892197
2021M02,133.7528896359
2021M03,134.37305824188
2021M04,134.95216751643
2021M05,135.60423907635
2021M06,136.21863699976
2021M07,136.90857667967
2021M08,137.38798412927
2021M09,137.95490337405
2021M10,139.14794982697
2021M11,140.07419873166
2021M12,141.15134689519
2022M01,142.5515079621
2022M02,143.8715948401
2022M03,146.24290211613
2022M04,147.89040911167
2022M05,149.1202624213
2022M06,150.64398621363
2022M07,151.39691430863
2022M08,151.93152258718
2022M09,152.90246125858
2022M10,154.37301601963
2022M11,154.89121950915
2022M12,155.24931780491
2023M01,156.87511163715
2023M02,158.3601125071
2023M03,159.93871974523
2023M04,161.18824035091
2023M05,161.71427796303
2023M06,162.7306655899
2023M07,164.56103941789
2023M08,166.25304313979
2023M09,167.28701145013
