Period,ReporterISO,PartnerISO
2013,ITA,BGR
2013,ITA,CHN
2013,ITA,COD
2013,ITA,CYP
2013,ITA,CZE
2013,ITA,DNK
2013,ITA,FRA
2013,ITA,DEU
2013,ITA,GRC
2013,ITA,HKG
2013,ITA,HUN
2013,ITA,IRL
2013,ITA,ISR
2013,ITA,KOR
2013,ITA,LUX
2013,ITA,MYS
2013,ITA,MLT
2013,ITA,MEX
2013,ITA,TWN
2013,ITA,NLD
2013,ITA,PHL
2013,ITA,POL
2013,ITA,PRT
2013,ITA,ROU
2013,ITA,RUS
2013,ITA,SGP
2013,ITA,SVK
2013,ITA,VNM
2013,ITA,SVN
2013,ITA,ESP
2013,ITA,SWE
2013,ITA,CHE
2013,ITA,TUN
2013,ITA,TUR
2013,ITA,GBR
2013,ITA,USA
2013,JPN,AUS
2013,JPN,AUT
2013,JPN,BGD
2013,JPN,BEL
2013,JPN,BRA
2013,JPN,CAN
2013,JPN,CHN
2013,JPN,CRI
2013,JPN,CZE
2013,JPN,FIN
2013,JPN,FRA
2013,JPN,DEU
2013,JPN,HKG
2013,JPN,HUN
2013,JPN,IDN
2013,JPN,IRL
2013,JPN,ITA
2013,JPN,KOR
2013,JPN,MYS
2013,JPN,MEX
2013,JPN,TWN
2013,JPN,NLD
2013,JPN,NZL
2013,JPN,PHL
2013,JPN,IND
2013,JPN,SGP
2013,JPN,SVK
2013,JPN,VNM
2013,JPN,ZAF
2013,JPN,ESP
2013,JPN,SWE
2013,JPN,CHE
2013,JPN,THA
2013,JPN,TUN
2013,JPN,GBR
2013,JPN,USA
2013,KAZ,RUS
2013,KOR,AND
2013,KOR,AUS
2013,KOR,AUT
2013,KOR,BEL
2013,KOR,BRA
2013,KOR,CAN
2013,KOR,CHN
2013,KOR,EST
2013,KOR,FIN
2013,KOR,FRA
2013,KOR,DEU
2013,KOR,HKG
2013,KOR,HUN
2013,KOR,IDN
2013,KOR,IRN
2013,KOR,IRL
2013,KOR,ISR
2013,KOR,ITA
2013,KOR,JPN
2013,KOR,MYS
2013,KOR,MLT
2013,KOR,MEX
2013,KOR,TWN
2013,KOR,NLD
2013,KOR,NGA
2013,KOR,NOR
2013,KOR,PHL
2013,KOR,POL
2013,KOR,PRT
2013,KOR,ROU
2013,KOR,RUS
2013,KOR,IND
2013,KOR,SGP
2013,KOR,SVK
2013,KOR,VNM
2013,KOR,ZAF
2013,KOR,SWE
2013,KOR,CHE
2013,KOR,THA
2013,KOR,ARE
2013,KOR,TUR
2013,KOR,EGY
2013,KOR,GBR
2013,KOR,USA
2013,LVA,BLR
2013,LVA,CHN
2013,LVA,EST
2013,LVA,LTU
2013,LVA,RUS
2013,LTU,CZE
2013,LTU,DEU
2013,LTU,RUS
2013,LUX,BEL
2013,LUX,NLD
2013,MYS,ATG
2013,MYS,AUS
2013,MYS,AUT
2013,MYS,BEL
2013,MYS,BRA
2013,MYS,BGR
2013,MYS,CMR
2013,MYS,CAN
2013,MYS,CHN
2013,MYS,CRI
2013,MYS,CZE
2013,MYS,EST
2013,MYS,FIN
2013,MYS,FRA
2013,MYS,DEU
2013,MYS,HKG
2013,MYS,HUN
2013,MYS,IDN
2013,MYS,IRN
2013,MYS,IRL
2013,MYS,ITA
2013,MYS,JPN
2013,MYS,KOR
2013,MYS,MAC
2013,MYS,MLT
2013,MYS,MEX
2013,MYS,TWN
2013,MYS,MAR
2013,MYS,NLD
2013,MYS,PHL
2013,MYS,POL
2013,MYS,ROU
2013,MYS,RUS
2013,MYS,SEN
2013,MYS,IND
2013,MYS,SGP
2013,MYS,SVK
2013,MYS,VNM
2013,MYS,ZAF
2013,MYS,SWE
2013,MYS,CHE
2013,MYS,THA
2013,MYS,ARE
2013,MYS,TUR
2013,MYS,GBR
2013,MYS,TZA
2013,MYS,USA
2013,MLT,CHN
2013,MLT,FRA
2013,MLT,HKG
2013,MLT,JPN
2013,MLT,KOR
2013,MLT,MEX
2013,MLT,TWN
2013,MLT,PHL
2013,MLT,IND
2013,MLT,SGP
2013,MLT,VNM
2013,MLT,USA
2013,MEX,ARG
2013,MEX,BRA
2013,MEX,CAN
2013,MEX,CHN
2013,MEX,FRA
2013,MEX,DEU
2013,MEX,HKG
2013,MEX,HUN
2013,MEX,JPN
2013,MEX,KOR
2013,MEX,MYS
2013,MEX,TWN
2013,MEX,NLD
2013,MEX,PHL
2013,MEX,SGP
2013,MEX,SVK
2013,MEX,USA
2013,TWN,ARG
2013,TWN,AUS
2013,TWN,AUT
2013,TWN,BEL
2013,TWN,BRA
2013,TWN,BGR
2013,TWN,CAN
2013,TWN,CHN
2013,TWN,CZE
2013,TWN,DNK
2013,TWN,FIN
2013,TWN,FRA
2013,TWN,DEU
2013,TWN,HKG
2013,TWN,HUN
2013,TWN,IDN
2013,TWN,IRL
2013,TWN,ISR
2013,TWN,ITA
2013,TWN,JPN
2013,TWN,KOR
2013,TWN,LVA
2013,TWN,LTU
2013,TWN,MAC
2013,TWN,MYS
2013,TWN,MLT
2013,TWN,MEX
2013,TWN,NLD
2013,TWN,NOR
2013,TWN,PHL
2013,TWN,POL
2013,TWN,PRT
2013,TWN,ROU
2013,TWN,RUS
2013,TWN,IND
2013,TWN,SGP
2013,TWN,SVK
2013,TWN,VNM
2013,TWN,SVN
2013,TWN,ZAF
2013,TWN,ESP
2013,TWN,SWE
2013,TWN,CHE
2013,TWN,THA
2013,TWN,ARE
2013,TWN,TUN
2013,TWN,TUR
2013,TWN,EGY
2013,TWN,GBR
2013,TWN,USA
2013,TWN,VEN
2013,MAR,FRA
2013,MAR,ESP
2013,MAR,USA
2013,NLD,AUT
2013,NLD,BEL
2013,NLD,BRA
2013,NLD,BGR
2013,NLD,BLR
2013,NLD,CAN
2013,NLD,CHN
2013,NLD,CZE
2013,NLD,DNK
2013,NLD,EST
2013,NLD,FIN
2013,NLD,FRA
2013,NLD,DEU
2013,NLD,GRC
2013,NLD,HKG
2013,NLD,HUN
2013,NLD,IDN
2013,NLD,IRL
2013,NLD,ISR
2013,NLD,ITA
2013,NLD,JPN
2013,NLD,KOR
2013,NLD,LVA
2013,NLD,LTU
2013,NLD,LUX
2013,NLD,MYS
2013,NLD,MEX
2013,NLD,TWN
2013,NLD,NOR
2013,NLD,PHL
2013,NLD,POL
2013,NLD,PRT
2013,NLD,ROU
2013,NLD,RUS
2013,NLD,SRB
2013,NLD,IND
2013,NLD,SGP
2013,NLD,SVK
2013,NLD,VNM
2013,NLD,SVN
2013,NLD,ZAF
2013,NLD,ESP
2013,NLD,SWE
2013,NLD,CHE
2013,NLD,THA
2013,NLD,ARE
2013,NLD,TUN
2013,NLD,TUR
2013,NLD,UKR
2013,NLD,EGY
2013,NLD,GBR
2013,NLD,USA
2013,NZL,AUS
2013,NZL,SGP
2013,NOR,CHN
2013,NOR,DNK
2013,NOR,DEU
2013,NOR,NLD
2013,NOR,POL
2013,NOR,SWE
2013,NOR,USA
2013,PHL,AUS
2013,PHL,AUT
2013,PHL,BEL
2013,PHL,BRA
2013,PHL,BGR
2013,PHL,CAN
2013,PHL,CHN
2013,PHL,CRI
2013,PHL,CZE
2013,PHL,FRA
2013,PHL,DEU
2013,PHL,HKG
2013,PHL,HUN
2013,PHL,IDN
2013,PHL,IRL
2013,PHL,ISR
2013,PHL,ITA
2013,PHL,JPN
2013,PHL,PRK
2013,PHL,KOR
2013,PHL,MYS
2013,PHL,MLT
2013,PHL,MEX
2013,PHL,TWN
2013,PHL,NLD
2013,PHL,CUW
2013,PHL,NOR
2013,PHL,POL
2013,PHL,PRT
2013,PHL,ROU
2013,PHL,IND
2013,PHL,SGP
2013,PHL,SVK
2013,PHL,VNM
2013,PHL,ZAF
2013,PHL,SWE
2013,PHL,CHE
2013,PHL,THA
2013,PHL,ARE
2013,PHL,TUN
2013,PHL,TUR
2013,PHL,GBR
2013,PHL,USA
2013,POL,AUT
2013,POL,BEL
2013,POL,HRV
2013,POL,CZE
2013,POL,DNK
2013,POL,FRA
2013,POL,DEU
2013,POL,GRC
2013,POL,HKG
2013,POL,HUN
2013,POL,ITA
2013,POL,LVA
2013,POL,LTU
2013,POL,NLD
2013,POL,NOR
2013,POL,ROU
2013,POL,RUS
2013,POL,SVK
2013,POL,ZAF
2013,POL,CHE
2013,POL,ARE
