period,GEPU_current
2012M06,187.9894524370751
2012M07,158.76022735831236
2012M08,122.54786492955725
2012M09,151.7948486553362
2012M10,158.45311677159845
2012M11,173.73434045570042
2012M12,168.4434484697074
2013M01,167.8303164402799
2013M02,125.63128496292379
2013M03,141.6474327665093
2013M04,134.513988410743
2013M05,106.41401246244436
2013M06,120.38660047243174
2013M07,107.92255284494594
2013M08,118.72046181414126
2013M09,132.72998939437525
2013M10,157.46709383569592
2013M11,95.94998789936272
2013M12,118.23782862316419
2014M01,110.91580003173048
2014M02,97.94841620504226
2014M03,113.25887808036306
2014M04,101.10832748907022
2014M05,103.6964890262619
2014M06,86.28317477594007
2014M07,92.84077198665769
2014M08,98.97206354142972
2014M09,122.98177426324767
2014M10,118.76309481541784
2014M11,113.14190342405391
2014M12,111.53165448642316
2015M01,135.72194562860236
2015M02,112.23648453132148
2015M03,103.66794415602546
2015M04,101.31546290843673
2015M05,106.0409388453491
2015M06,117.47649588508246
2015M07,128.8064641403136
2015M08,130.93503112765126
2015M09,173.7147538925366
2015M10,124.61240040561691
2015M11,101.49903890276205
2015M12,113.24081075327088
2016M01,149.72533773125215
2016M02,154.9262029344409
2016M03,165.72301211860577
2016M04,143.92831447113198
2016M05,131.8841828208074
2016M06,242.0858190675499
2016M07,234.48487557120947
2016M08,143.1227867616329
2016M09,148.4347383829001
2016M10,133.45393153828343
2016M11,249.39307526612637
2016M12,220.9574654386391
2017M01,263.9819930980582
2017M02,200.6152333414324
2017M03,233.9032597096799
2017M04,179.64048312376326
2017M05,164.47852845135586
2017M06,169.04688041656993
2017M07,147.24208967480405
2017M08,140.11419985418797
2017M09,156.35795753109116
2017M10,148.62723944060235
