Period,TPU,GPR,DMGSRMRCHSACD,IPTOTSAKD,IMPCOV,NEER,REER,RETSALESSA,TOTRESV,UNEMPSA_,GEPU
2012-12-01,25.884868606156097,74.83155822753906,2109226.23075616,1437964518932.57,5.55879632758,99.09955278364,99.68339033752,101.96135941612,11724759.0255536,7.77860004599,168.51030685239976
2013-01-01,22.872623911884883,90.6574935913086,2250801.58654047,1440252278972.99,5.27035552895,98.99881419752,99.74343628633,102.22617961475,11862524.5861866,7.90282181197,167.88987591330297
2013-02-01,28.596860026892408,81.59033203125,2124479.88822953,1441451684926.61,5.54910135645,99.01995462504,99.92476629855,102.5296151363,11788954.2295257,7.84875613054,125.5645353773696
2013-03-01,31.863079794255544,75.89672088623047,2069699.60220121,1451253995755.41,5.72380183275,99.21291825602,100.02291368582,102.2721037274,11846550.3763295,7.80851600908,141.53837201373477
2013-04-01,11.299123628947802,95.10787200927734,2153791.18601121,1456058914415.21,5.581797963,99.06242937412,99.91558128272,100.47686976844,12022027.2548084,7.85903014432,133.62721683735504
2013-05-01,33.6477185827173,83.71731567382812,2293415.78286411,1459173297259.12,5.20821792655,98.99439783264,99.92331504015,101.67702532824,11944609.1933517,7.83957638368,106.2849041036024
2013-06-01,26.86384551958933,82.97300720214844,2323291.66455403,1458882804014.27,5.10054331306,99.05620714671,99.90316355227,101.37039697093,11850049.7639373,7.80327104648,119.51842842342934
2013-07-01,24.47206335239771,73.97581481933594,2421800.12338385,1466653788892.39,4.93406578849,98.86396653393,99.50374243626,100.92617594493,11949321.1353405,7.75328757196,108.34897991568758
2013-08-01,20.349087157146545,90.95674896240234,2300028.0109862,1473597108582.75,5.19975819194,98.75451049322,99.33894897695,101.38166551925,11959589.4918101,7.74364658614,118.5730830053012
2013-09-01,25.629940711462453,100.4593276977539,2312717.23602935,1481556097370.81,5.26447362532,98.7523628141,99.21860732766,101.37846195974,12175238.8919036,7.72473908723,132.7188848704299
2013-10-01,33.370411568409345,72.95311737060547,2347446.40711978,1483975951752.88,5.244421143,98.47371508324,99.03973687983,102.64575604196,12310997.5695588,7.69549274525,158.69105192844003
